timestamp,load_kw
2026-09-01 00:00,120.5
2026-09-01 01:00,115.2
2026-09-01 02:00,110.0
2026-09-01 03:00,108.4
2026-09-01 04:00,112.1
2026-09-01 05:00,135.6
2026-09-01 06:00,180.3
2026-09-01 07:00,240.8
2026-09-01 08:00,310.5
2026-09-01 09:00,420.1
2026-09-01 10:00,485.3
2026-09-01 11:00,492.0
2026-09-01 12:00,380.4
2026-09-01 13:00,465.7
2026-09-01 14:00,510.2
2026-09-01 15:00,498.6
2026-09-01 16:00,475.0
2026-09-01 17:00,410.2
2026-09-01 18:00,320.5
2026-09-01 19:00,250.1
2026-09-01 20:00,210.4
2026-09-01 21:00,175.8
2026-09-01 22:00,150.2
2026-09-01 23:00,130.0
